spotifyID,title,artist,durationMs,songKey,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,spotifyID,chart date,ranking
3QzAOrNlsabgbMwlZt7TAY,Ballin',Mustard Featuring Roddy Ricch,180435,7,1,4,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,0.244,97.008,3QzAOrNlsabgbMwlZt7TAY,2019-11-15,26
3QzAOrNlsabgbMwlZt7TAY,Ballin',Mustard Featuring Roddy Ricch,180435,7,1,4,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,0.244,97.008,3QzAOrNlsabgbMwlZt7TAY,2019-11-22,25
3TTMUI5dFcbeNSDTTDY9M8,Come Thru,Summer Walker & Usher,181013,5,0,4,0.159,0.679,0.728,0.0,0.107,-3.092,0.154,0.46,152.001,3TTMUI5dFcbeNSDTTDY9M8,2019-11-15,97
3TTMUI5dFcbeNSDTTDY9M8,Come Thru,Summer Walker & Usher,181013,5,0,4,0.159,0.679,0.728,0.0,0.107,-3.092,0.154,0.46,152.001,3TTMUI5dFcbeNSDTTDY9M8,2019-11-22,97
3yOs8FffuG6hPbzQG9lIqV,I Don't Know About You,Chris Lane,207933,1,1,4,0.602,0.593,0.81,0.0,0.119,-5.733,0.0625,0.712,144.011,3yOs8FffuG6hPbzQG9lIqV,2019-11-15,76
3yOs8FffuG6hPbzQG9lIqV,I Don't Know About You,Chris Lane,207933,1,1,4,0.602,0.593,0.81,0.0,0.119,-5.733,0.0625,0.712,144.011,3yOs8FffuG6hPbzQG9lIqV,2019-11-22,77
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,245426,6,0,4,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,0.243,120.006,3ZCTVFBt2Brf31RLEnCkWJ,2019-11-22,74
40ufL61vEaDaaOitYhnlQ7,Tip Of My Tongue,Kenny Chesney,199413,5,1,4,0.0805,0.669,0.559,0.0,0.0703,-5.003,0.0251,0.491,95.001,40ufL61vEaDaaOitYhnlQ7,2019-11-15,73
40ufL61vEaDaaOitYhnlQ7,Tip Of My Tongue,Kenny Chesney,199413,5,1,4,0.0805,0.669,0.559,0.0,0.0703,-5.003,0.0251,0.491,95.001,40ufL61vEaDaaOitYhnlQ7,2019-11-22,75
41FLEFSeRCv19OBn0vLiaH,It All Comes Out In The Wash,Miranda Lambert,214787,0,1,4,0.00106,0.602,0.73,0.000115,0.095,-4.925,0.0314,0.923,164.027,41FLEFSeRCv19OBn0vLiaH,2019-11-15,70
41FLEFSeRCv19OBn0vLiaH,It All Comes Out In The Wash,Miranda Lambert,214787,0,1,4,0.00106,0.602,0.73,0.000115,0.095,-4.925,0.0314,0.923,164.027,41FLEFSeRCv19OBn0vLiaH,2019-11-22,82
44UTzjhEM825Sw0qC89oGK,What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,203560,11,1,4,0.000934,0.498,0.788,0.0,0.13,-5.361,0.0402,0.457,138.171,44UTzjhEM825Sw0qC89oGK,2019-11-15,53
44UTzjhEM825Sw0qC89oGK,What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,203560,11,1,4,0.000934,0.498,0.788,0.0,0.13,-5.361,0.0402,0.457,138.171,44UTzjhEM825Sw0qC89oGK,2019-11-22,93
4CMrdHWqic0usIZfTrKoI3,Easy,DaniLeigh Featuring Chris Brown,186587,7,1,4,0.195,0.799,0.301,0.0,0.0816,-11.361,0.185,0.511,100.026,4CMrdHWqic0usIZfTrKoI3,2019-11-15,91
4CMrdHWqic0usIZfTrKoI3,Easy,DaniLeigh Featuring Chris Brown,186587,7,1,4,0.195,0.799,0.301,0.0,0.0816,-11.361,0.185,0.511,100.026,4CMrdHWqic0usIZfTrKoI3,2019-11-22,91
4EpLU30bi1KNWkBTfgZkoK,Every Little Thing,Russell Dickerson,190640,1,1,4,0.216,0.638,0.854,0.0,0.0357,-4.664,0.11,0.859,93.869,4EpLU30bi1KNWkBTfgZkoK,2019-11-15,50
4EpLU30bi1KNWkBTfgZkoK,Every Little Thing,Russell Dickerson,190640,1,1,4,0.216,0.638,0.854,0.0,0.0357,-4.664,0.11,0.859,93.869,4EpLU30bi1KNWkBTfgZkoK,2019-11-22,58
4evmHXcjt3bTUHD1cvny97,Beautiful People,Ed Sheeran Featuring Khalid,197867,5,0,4,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,0.548,92.977,4evmHXcjt3bTUHD1cvny97,2019-11-08,15
4evmHXcjt3bTUHD1cvny97,Beautiful People,Ed Sheeran Featuring Khalid,197867,5,0,4,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,0.548,92.977,4evmHXcjt3bTUHD1cvny97,2019-11-15,15
